"ID","Product Reference","Name*","UOM*","Product Category ID*","Product Category Name","Product Type","Sale Price","Purchase Price","Cost Price","Discount Price","Start Date","End Date","Description","Arabic Name","Quantity","Terminal ","Secondary / Default Unit","Secondary / Default Unit Qty","Brand","Product Group","Supplier Name","Active"
"'10003","","Tredos Kashkaval 1x2.8KG","EA","Raw Materials","Raw Materials","Item","0.1","66.66","66.66","0","2025-06-28 00:00:00","2025-06-28 00:00:00","","","0","","-","0","","","","Yes"
"'10009","","Cowland Unsalted Butter Spread 82%","Each","Raw Materials","Raw Materials","Item","0.1","360","360","0","2025-07-02 00:00:00","2025-07-02 00:00:00","","","0","","-","0","","","","Yes"
"'10015","","Barilla Penne Rigate 12x500gm","EA","Raw Materials","Raw Materials","Item","0.1","100","100","0","2025-07-26 00:00:00","2025-07-26 00:00:00","","","0","","-","0","","","","Yes"
"'10016","","Barilla Spaghetti (No.5)","EA","Raw Materials","Raw Materials","Item","0.1","150","150","0","2025-07-26 00:00:00","2025-07-26 00:00:00","","","0","","-","0","","","","Yes"
"'103","","Supply & Installation of Interfacing for Fire Alarm System and Supply of Gas Shut-Off Valve","Each","1028231","Maintenance","Item","0.1","2860","2860","0","2025-04-06 00:00:00","2025-04-06 00:00:00","","","0","","-","0","","","","Yes"
"'104","","Daily Dish 1","EA","10003722","Daily Dish","Item","55","1","20","0","2025-04-17 00:00:00","2025-04-17 00:00:00","","الطبق اليومي","-1893","Kitchen","-","0","","","","Yes"
"'105","","Daily Dish 2","EA","10003722","Daily Dish","Item","50","12","12","0","2025-04-17 00:00:00","2025-04-17 00:00:00","","","-1349","Kitchen","-","0","","","","Yes"
"'106","","Daily dish M.S.","EA","10003722","Daily Dish","Item","40","18","18","0","2025-04-17 00:00:00","2025-04-17 00:00:00","","","-1258","Kitchen","-","0","","","","Yes"
"'12000","","Garbage Bag - 90*110 (12KG)","EA","Raw Materials","Raw Materials","Item","0.1","48","48","0","2025-07-28 00:00:00","2025-07-28 00:00:00","","","1","","-","0","","","","Yes"
"'12001","","Maxi 135Mtr 6 pcs","EA","Raw Materials","Raw Materials","Item","0.1","42","42","0","2025-09-15 00:00:00","2025-09-15 00:00:00","","","0","","-","0","","","","Yes"
"'12002","","Toilet Roll 10pcs","EA","Raw Materials","Raw Materials","Item","0.1","9","9","0","2025-09-15 00:00:00","2025-09-15 00:00:00","","","0","","-","0","","","","Yes"
"'12003","","Tissue Box - 30pcs","EA","Raw Materials","Raw Materials","Item","0.1","48","48","0","2025-09-15 00:00:00","2025-09-15 00:00:00","","","0","","-","0","","","","Yes"
"'12004","","RP Kraft Salad Bowl - 75o ML 300pcs","EA","Raw Materials","Raw Materials","Item","0.1","150","150","0","2025-09-15 00:00:00","2025-09-15 00:00:00","","","0","","-","0","","","","Yes"
"'12005","","Hair Net Black 1000pcs","EA","Raw Materials","Raw Materials","Item","0.1","38","38","0","2025-09-15 00:00:00","2025-09-15 00:00:00","","","0","","-","0","","","","Yes"
"'12006","","Paper Bag 30x25x15 Brown","EA","Raw Materials","Raw Materials","Item","0.1","135","135","0","2025-09-15 00:00:00","2025-09-15 00:00:00","","","0","","-","0","","","","Yes"
"'12007","","Paper Bag 35x35x20 Brown","EA","Raw Materials","Raw Materials","Item","0.1","165","165","0","2025-09-15 00:00:00","2025-09-15 00:00:00","","","0","","-","0","","","","Yes"
"'12008","","HD Spoon Black 1000pcs","EA","Raw Materials","Raw Materials","Item","0.1","50","50","0","2025-09-15 00:00:00","2025-09-15 00:00:00","","","0","","-","0","","","","Yes"
"'12009","","Black Garbage Bag 120x140","EA","Raw Materials","Raw Materials","Item","0.1","55","55","0","2025-09-15 00:00:00","2025-09-15 00:00:00","","","0","","-","0","","","","Yes"
"'12010","","Clorex 4x4ltr","EA","Raw Materials","Raw Materials","Item","0.1","36","36","0","2025-09-15 00:00:00","2025-09-15 00:00:00","","","0","","-","0","","","","Yes"
"'12011","","RP Plastic Container Round 250 ml 500pcs","EA","Raw Materials","Raw Materials","Item","0.1","77","77","0","2025-09-15 00:00:00","2025-09-15 00:00:00","","","0","","-","0","","","","Yes"
"'12012","","Nylon Foil","EA","Raw Materials","Raw Materials","Item","0.1","28","28","0","2025-09-15 00:00:00","2025-09-15 00:00:00","","","0","","-","0","","","","Yes"
"'12013","","Aluminum Plate 6586 - 100pcs","EA","Raw Materials","Raw Materials","Item","0.1","48","48","0","2025-09-15 00:00:00","2025-09-15 00:00:00","","","0","","-","0","","","","Yes"
"'12014","","Vinyl Gloves Medium 10pcs","EA","Raw Materials","Raw Materials","Item","0.1","51","51","0","2025-07-28 00:00:00","2025-07-28 00:00:00","","","0","","-","0","","","","Yes"
"'12015","","White Plastic bag 20pkt","EA","Raw Materials","Raw Materials","Item","0.1","35","35","0","2025-09-15 00:00:00","2025-09-15 00:00:00","","","0","","-","0","","","","Yes"
"'12016","","Aluminum Pot 175 * 100 pcs per ctn Big size","EA","10003722","Daily Dish","Item","0.1","225","225","0","2025-08-24 00:00:00","2025-08-24 00:00:00","","","0","","-","0","","","","Yes"
"'12017","","Aluminum Pot 173 * 50 pcs per ctn small size","EA","Raw Materials","Raw Materials","Item","0.1","105","105","0","2025-08-24 00:00:00","2025-08-24 00:00:00","","","0","","-","0","","","","Yes"
"'12018","","Aluminum Container - 73365 1x100","EA","Raw Materials","Raw Materials","Item","0.1","104","104","0","2025-08-06 00:00:00","2025-08-06 00:00:00","","","0","","-","0","","","","Yes"
"'12019","","Aluminum Container - 83185 1x400","EA","Raw Materials","Raw Materials","Item","0.1","162","162","0","2025-08-06 00:00:00","2025-08-06 00:00:00","","","0","","-","0","","","","Yes"
"'12020","","Aluminum Platter 6586","EA","Raw Materials","Raw Materials","Item","0.1","40","40","0","2025-08-06 00:00:00","2025-08-06 00:00:00","","","0","","-","0","","","","Yes"
"'12021","","Aluminum Foil - 6pcs (1.5kg)","EA","Raw Materials","Raw Materials","Item","0.1","126","126","0","2025-07-28 00:00:00","2025-07-28 00:00:00","","","0","","-","0","","","","Yes"
"'12022","","Aluminum Container - 1120 (400pcs)","EA","Raw Materials","Raw Materials","Item","0.1","89","89","0","2025-07-28 00:00:00","2025-07-28 00:00:00","","","3","","-","0","","","","Yes"
"'12023","","Plastic Rectangular Container 1500 - 300pcs","EA","Raw Materials","Raw Materials","Item","0.1","172","172","0","2025-08-23 00:00:00","2025-08-23 00:00:00","","","0","","-","0","","","","Yes"
"'12024","","Plastic Bowl 4OZ - 2000pcs","EA","Raw Materials","Raw Materials","Item","0.1","149","149","0","2025-08-02 00:00:00","2025-08-02 00:00:00","","","0","","-","0","","","","Yes"
"'12025","","M | W Plastic Container 250ml (500pcs)","EA","Raw Materials","Raw Materials","Item","0.1","63","63","0","2025-07-28 00:00:00","2025-07-28 00:00:00","","","0","","-","0","","","","Yes"
"'12026","","Handy Fuel 72 pcs / Ctn","EA","Raw Materials","Raw Materials","Item","0.1","97","97","0","2025-08-02 00:00:00","2025-08-02 00:00:00","","","0","","-","0","","","","Yes"
"'12027","","Q Paper Napkins 33x33cm - CTN","EA","Raw Materials","Raw Materials","Item","0.1","61","61","0","2025-08-23 00:00:00","2025-08-23 00:00:00","","","0","","-","0","","","","Yes"
"'12028","","Wooden coffee Stirrer Paper Wrapped-14cm - CTN","EA","Raw Materials","Raw Materials","Item","0.1","123","123","0","2025-08-23 00:00:00","2025-08-23 00:00:00","","","0","","-","0","","","","Yes"
"'12029","","Paper Cup Double Wall 1000 pcs with lid","EA","Raw Materials","Raw Materials","Item","0.1","245","245","0","2025-08-02 00:00:00","2025-08-02 00:00:00","","","0","","-","0","","","","Yes"
"'12030","","Paper Cup Double Wall 500pcs","EA","Raw Materials","Raw Materials","Item","0.1","100","100","0","2025-08-02 00:00:00","2025-08-02 00:00:00","","","2","","-","0","","","","Yes"
"'12031","","Cling Film - 2kg","EA","Raw Materials","Raw Materials","Item","0.1","35","35","0","2025-07-28 00:00:00","2025-07-28 00:00:00","","","0","","-","0","","","","Yes"
"'12032","","Maxi Roll - 6pcs","EA","Raw Materials","Raw Materials","Item","0.1","18","18","0","2025-07-28 00:00:00","2025-07-28 00:00:00","","","0","","-","0","","","","Yes"
"'12033","","Yellow Bag Small - 20KG","EA","Raw Materials","Raw Materials","Item","0.1","129","129","0","2025-08-05 00:00:00","2025-08-05 00:00:00","","","0","","-","0","","","","Yes"
"'12034","","Yellow Bag Medium - 20KG","EA","Raw Materials","Raw Materials","Item","0.1","129","129","0","2025-08-28 00:00:00","2025-08-28 00:00:00","","","1","","-","0","","","","Yes"
"'12035","","Shopping Bag Medium","EA","Raw Materials","Raw Materials","Item","0.1","33","33","0","2025-08-28 00:00:00","2025-08-28 00:00:00","","","1","","-","0","","","","Yes"
"'12036","","Shopping Bag Small","EA","Raw Materials","Raw Materials","Item","0.1","18","18","0","2025-08-28 00:00:00","2025-08-28 00:00:00","","","1","","-","0","","","","Yes"
"'12037","","Kraft Salad Bowl 750ML - CTN","EA","Raw Materials","Raw Materials","Item","0.1","158","158","0","2025-08-23 00:00:00","2025-08-23 00:00:00","","","0","","-","0","","","","Yes"
"'12038","","Salad Bowl - 500ml","EA","Raw Materials","Raw Materials","Item","0.1","125","125","0","2025-08-05 00:00:00","2025-08-05 00:00:00","","","0","","-","0","","","","Yes"
"'12039","","Baking Sheet 500pcs","EA","Raw Materials","Raw Materials","Item","0.1","66","66","0","2025-08-06 00:00:00","2025-08-06 00:00:00","","","0","","-","0","","","","Yes"
"'12040","","Container w/Hinged Lid 250ML /8OZ 500Pcs","EA","Raw Materials","Raw Materials","Item","0.1","97","97","0","2025-08-23 00:00:00","2025-08-23 00:00:00","","","0","","-","0","","","","Yes"
"'12041","","Clear Hinged Container 375ML / 12OZ - 600 Pcs","EA","Raw Materials","Raw Materials","Item","0.1","109","109","0","2025-08-23 00:00:00","2025-08-23 00:00:00","","","0","","-","0","","","","Yes"
"'12042","","Black Rect Container RE 32 Pack On 150pcs/ctn","EA","Raw Materials","Raw Materials","Item","0.1","63","63","0","2025-08-17 00:00:00","2025-08-17 00:00:00","","","1","","-","0","","","","Yes"
"'12043","","Black Round Container - RO16","EA","Raw Materials","Raw Materials","Item","0.1","43","43","0","2025-08-06 00:00:00","2025-08-06 00:00:00","","","0","","-","0","","","","Yes"
"'12044","","Black Base Container 1 Compartment","EA","Raw Materials","Raw Materials","Item","0.1","77","77","0","2025-08-06 00:00:00","2025-08-06 00:00:00","","","0","","-","0","","","","Yes"
"'12045","","Dish Washing Liquid 20ltr 5x4","EA","Raw Materials","Raw Materials","Item","0.1","33","33","0","2025-08-06 00:00:00","2025-08-06 00:00:00","","","1","","-","0","","","","Yes"
