Document no,Date Ordered,Supplier,Product,UOM,Unit Price,Qty Ordered,Line Amt,Discount,Document Status
800013,2025-03-27 06:34:06,Verde W.l.l.,Mayonnaise_21012,Each,40,4,160,0,Completed
800016,2025-04-01 01:09:35,Al Majed Marketing & Distribution,Masoor Dal 15Kg_17007,Each,58,2,116,0,Completed
800016,2025-04-01 01:09:35,Al Majed Marketing & Distribution,Mashhor Indian 1121 Long Grain Basmati Rice 1x35kg_17005,Each,140,2,280,0,Completed
800018,2025-04-01 01:35:06,Gulf Center,Frozen Whole Chicken 1100gms - Brazil_16000,Each,88,5,440,0,Completed
800019,2025-04-06 05:12:38,Watania W.L.L,Supply & Installation of Interfacing for Fire Alarm System and Supply of Gas Shut-Off Valve_103,Eachch,2860,1,2860,0,Completed
800020,2025-04-08 10:01:16,Verde W.l.l.,Fresh Eggs Grade A -_21010,Each,120,1,120,0,Completed
800021,2025-04-08 10:56:01,Al Majed Marketing & Distribution,Sunflower oil 4x5Lit_21000,Each,108,5,540,0,Completed
800021,2025-04-08 10:56:01,Al Majed Marketing & Distribution,Salt Bags 20 KGS_17009,Each,16,2,32,0,Completed
800022,2025-04-08 12:22:51,Delta group,Topside Frozen Brazil_15000,Each,24,20,480,0,Completed
800023,2025-04-10 03:54:20,Gulf Center,Frozen Whole Chicken 1100gms - Brazil_16000,Each,8.8,50,440,0,Completed
800024,2025-04-14 04:03:32,Al Majed Marketing & Distribution,Sona Masoori Rice 35 Kg_17004,Each,92,2,184,0,Completed
800024,2025-04-14 04:03:32,Al Majed Marketing & Distribution,Mashhor Indian 1121 Long Grain Basmati Rice 1x35kg_17005,Each,140,1,140,0,Completed
800024,2025-04-14 04:03:32,Al Majed Marketing & Distribution,Masoor Dal 15Kg_17007,Each,58,3,174,0,Completed
800025,2025-04-14 04:19:13,Deep Seafood,Frozen Mackerel Whole 10kgs_18034,Each,65,2,130,0,Completed
800026,2025-04-14 04:23:25,Gulf Center,Frozen Whole Chicken 1100gms - Brazil_16000,Each,8.8,50,440,0,Completed
800027,2025-04-20 02:20:31,Verde W.l.l.,Topside Frozen Brazil_15000,Each,24,20,480,0,Completed
800027,2025-04-20 02:20:31,Verde W.l.l.,Chicken Breast Aurora 2kgx6_16012,Each,165,2,330,0,Completed
800030,2025-04-21 09:48:40,Gulf Center,Frozen Whole Chicken 1100gms - Brazil_16000,Each,8.8,100,880,0,Completed
800031,2025-04-21 11:24:09,Gulf Center,Frozen Whole Chicken 1100gms - Brazil_16000,Each,8.8,1,8.8,0,Completed
800032,2025-04-26 03:27:13,Verde W.l.l.,Sunflower oil 4x5Lit_21000,Each,115,6,690,0,Completed
800033,2025-04-26 03:31:29,Deep Seafood,Frozen Mackerel Whole 10kgs_18034,Each,65,2,130,0,Completed
800034,2025-04-27 11:34:47,Al Zaman International Catering & Trading,Topside Frozen Brazil_15000,Each,23,20,460,0,Completed
800034,2025-04-27 11:34:47,Al Zaman International Catering & Trading,Chicken Breast Aurora 2kgx6_16012,Each,150,1,150,0,Completed
800034,2025-04-27 11:34:47,Al Zaman International Catering & Trading,Sun White Rice 20Kg_17003,Each,128,1,128,0,Completed
800034,2025-04-27 11:34:47,Al Zaman International Catering & Trading,White Vinegar 4x3.78ltr_21005,Each,18,4,72,0,Completed
800035,2025-04-28 01:14:32,Yacoob Trading & Contracting,HAPPY GARDENS PICKLED GRAPE LEAVES_21008,Each,13.06,36,470.16,0,Completed
800035,2025-04-28 01:14:32,Yacoob Trading & Contracting,"AOUN WHITE BURGHUL FINE 	4kg_17027",Each,23,5,115,0,Completed
800036,2025-04-29 10:36:59,Al Zaman International Catering & Trading,Beef Slice Alwahid 20x900g_15001,Each,309,1,309,0,Completed
800036,2025-04-29 10:36:59,Al Zaman International Catering & Trading,Frozen Spinach 10x1kg KLA India_18033,Each,37,2,74,0,Completed
800036,2025-04-29 10:36:59,Al Zaman International Catering & Trading,Frozen Whole Chicken 1100gms - Brazil_16000,Each,7.45,50,372.5,0,Completed
800037,2025-04-30 05:34:08,Al Zaman International Catering & Trading,Frozen Beef Tenderloin Brazil_15002,Each,41,15,615,0,Completed
